companyName,companyCode,date,postPerDay,tradingPerDay
룽투코리아,060240,2023.01.30,8,616993.0
룽투코리아,060240,2023.01.27,8,763188.0
룽투코리아,060240,2023.01.26,7,2336993.0
룽투코리아,060240,2023.01.25,3,690212.0
룽투코리아,060240,2023.01.20,1,323869.0
룽투코리아,060240,2023.01.19,15,799994.0
룽투코리아,060240,2023.01.18,20,2493661.0
룽투코리아,060240,2023.01.17,7,913896.0
룽투코리아,060240,2023.01.16,3,1224264.0
룽투코리아,060240,2023.01.13,7,507117.0
룽투코리아,060240,2023.01.12,9,659941.0
룽투코리아,060240,2023.01.11,21,1528146.0
룽투코리아,060240,2023.01.10,31,1799981.0
룽투코리아,060240,2023.01.09,71,8166454.0
룽투코리아,060240,2023.01.06,103,7669902.0
룽투코리아,060240,2023.01.05,36,1520151.0
룽투코리아,060240,2023.01.04,19,4520385.0
룽투코리아,060240,2023.01.03,14,3559409.0
룽투코리아,060240,2023.01.02,9,1853517.0
룽투코리아,060240,2022.12.29,70,8516634.0
룽투코리아,060240,2022.12.28,8,423500.0
룽투코리아,060240,2022.12.27,4,418031.0
룽투코리아,060240,2022.12.26,7,306850.0
룽투코리아,060240,2022.12.23,7,362181.0
룽투코리아,060240,2022.12.22,6,319777.0
룽투코리아,060240,2022.12.21,12,418928.0
룽투코리아,060240,2022.12.20,14,478143.0
룽투코리아,060240,2022.12.19,2,221831.0
룽투코리아,060240,2022.12.16,6,374702.0
룽투코리아,060240,2022.12.15,4,574973.0
룽투코리아,060240,2022.12.14,7,726349.0
룽투코리아,060240,2022.12.13,7,643927.0
룽투코리아,060240,2022.12.12,9,1357844.0
룽투코리아,060240,2022.12.09,15,1440018.0
룽투코리아,060240,2022.12.08,32,1143214.0
룽투코리아,060240,2022.12.07,34,3918927.0
룽투코리아,060240,2022.12.06,18,737392.0
룽투코리아,060240,2022.12.05,13,2106110.0
룽투코리아,060240,2022.12.02,14,1030729.0
룽투코리아,060240,2022.12.01,12,970924.0
룽투코리아,060240,2022.11.30,20,1420718.0
룽투코리아,060240,2022.11.29,19,1232830.0
룽투코리아,060240,2022.11.28,24,1893862.0
룽투코리아,060240,2022.11.25,100,2958542.0
룽투코리아,060240,2022.11.24,188,4700047.0
룽투코리아,060240,2022.11.23,192,10211942.0
