companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
밸로프,331520,0.17,0.29
위메이드플레이,123420,0.17,1.0
미스터블루,207760,0.17,0.53
티쓰리,204610,0.15,0.61
드래곤플라이,030350,1,0.5
위메이드맥스,101730,0.16,0.46
한빛소프트,047080,0.18,0.85
크래프톤,259960,0.16,0.57
넵튠,217270,0.12,0.51
미투젠,950190,0.14,0.54
엔씨소프트,036570,0.14,0.56
카카오게임즈,293490,0.23,0.63
위메이드,112040,0.29,0.09
액토즈소프트,052790,0.04,0.49
액션스퀘어,205500,0.1,0.43
컴투스홀딩스,063080,0.1,0.4
스카이문스테크놀로지,033790,1.0,0.42
베스파,299910,0.01,0.9
코원플레이,056000,0.07,0.38
썸에이지,208640,0.35,0.51
네오위즈홀딩스,042420,0.14,0.65
펄어비스,263750,0.07,0.47
더블유게임즈,192080,0.12,0.53
웹젠,069080,0.15,0.56
엠게임,058630,0.13,0.59
넷마블,251270,0.12,0.45
미투온,201490,0.13,0.54
데브시스터즈,194480,0.51,1
컴투스,078340,0.14,0.46
조이시티,067000,0.16,0.56
룽투코리아,060240,0.29,0.39
플레이위드,023770,0.04,0.53
모비릭스,348030,0.12,0.58
넥슨게임즈,225570,0.1,0.53
네오위즈,095660,0.11,0.54
