companyName,companyCode,date,postPerDay,tradingPerDay
한빛소프트,047080,2023.01.30,0.15,0.21
한빛소프트,047080,2023.01.27,0.0,0.05
한빛소프트,047080,2023.01.26,0.02,0.05
한빛소프트,047080,2023.01.25,0.02,0.04
한빛소프트,047080,2023.01.20,0.02,0.01
한빛소프트,047080,2023.01.19,0.06,0.03
한빛소프트,047080,2023.01.18,0.06,0.08
한빛소프트,047080,2023.01.17,0.0,0.05
한빛소프트,047080,2023.01.16,0.0,0.07
한빛소프트,047080,2023.01.13,0.02,0.01
한빛소프트,047080,2023.01.11,0.02,0.02
한빛소프트,047080,2023.01.10,0.04,0.03
한빛소프트,047080,2023.01.09,0.04,0.03
한빛소프트,047080,2023.01.06,0.02,0.01
한빛소프트,047080,2023.01.05,0.04,0.05
한빛소프트,047080,2023.01.04,0.12,0.1
한빛소프트,047080,2023.01.03,0.0,0.05
한빛소프트,047080,2023.01.02,0.17,0.04
한빛소프트,047080,2022.12.29,0.73,0.25
한빛소프트,047080,2022.12.28,0.33,0.4
한빛소프트,047080,2022.12.27,0.33,0.36
한빛소프트,047080,2022.12.26,0.06,0.02
한빛소프트,047080,2022.12.23,0.04,0.04
한빛소프트,047080,2022.12.22,0.02,0.01
한빛소프트,047080,2022.12.21,0.02,0.02
한빛소프트,047080,2022.12.20,0.02,0.05
한빛소프트,047080,2022.12.19,0.0,0.05
한빛소프트,047080,2022.12.16,0.0,0.02
한빛소프트,047080,2022.12.15,0.0,0.02
한빛소프트,047080,2022.12.13,0.02,0.01
한빛소프트,047080,2022.12.09,0.0,0.03
한빛소프트,047080,2022.12.06,0.04,0.01
한빛소프트,047080,2022.12.05,0.0,0.02
한빛소프트,047080,2022.12.01,0.02,0.04
한빛소프트,047080,2022.11.30,0.04,0.02
한빛소프트,047080,2022.11.29,0.04,0.03
한빛소프트,047080,2022.11.28,0.0,0.04
한빛소프트,047080,2022.11.25,0.02,0.04
한빛소프트,047080,2022.11.24,0.06,0.09
한빛소프트,047080,2022.11.22,0.02,0.04
한빛소프트,047080,2022.11.21,0.04,0.15
한빛소프트,047080,2022.11.18,0.08,0.4
한빛소프트,047080,2022.11.17,0.15,0.17
한빛소프트,047080,2022.11.16,0.04,0.06
한빛소프트,047080,2022.11.15,0.06,0.07
한빛소프트,047080,2022.11.14,0.12,0.04
한빛소프트,047080,2022.11.11,0.06,0.08
한빛소프트,047080,2022.11.10,0.08,0.05
한빛소프트,047080,2022.11.09,0.12,0.1
한빛소프트,047080,2022.11.08,0.17,0.08
한빛소프트,047080,2022.11.07,0.1,0.09
한빛소프트,047080,2022.11.04,0.42,0.23
한빛소프트,047080,2022.11.03,1.0,0.6
한빛소프트,047080,2022.11.02,0.81,0.27
