companyName,companyCode,companyDate,postPerDay,volumePerDay
??????????,020120,2023.01.30,0.06,0.04
??????????,020120,2023.01.27,0.02,0.03
??????????,020120,2023.01.26,0.02,0.05
??????????,020120,2023.01.25,0.08,0.06
??????????,020120,2023.01.20,0.09,0.07
??????????,020120,2023.01.19,0.12,0.18
??????????,020120,2023.01.18,0.06,0.09
??????????,020120,2023.01.17,0.04,0.08
??????????,020120,2023.01.16,0.23,0.23
??????????,020120,2023.01.13,0.09,0.06
??????????,020120,2023.01.12,0.17,0.12
??????????,020120,2023.01.11,0.17,0.13
??????????,020120,2023.01.10,0.19,0.06
??????????,020120,2023.01.09,0.14,0.18
??????????,020120,2023.01.06,0.18,0.09
??????????,020120,2023.01.05,0.11,0.1
??????????,020120,2023.01.04,0.12,0.11
??????????,020120,2023.01.03,0.38,0.63
??????????,020120,2023.01.02,0.09,0.08
??????????,020120,2022.12.29,0.06,0.17
??????????,020120,2022.12.28,0.04,0.04
??????????,020120,2022.12.27,0.05,0.06
??????????,020120,2022.12.26,0.04,0.05
??????????,020120,2022.12.23,0.02,0.07
??????????,020120,2022.12.22,0.08,0.09
??????????,020120,2022.12.21,0.17,0.16
??????????,020120,2022.12.20,0.08,0.14
??????????,020120,2022.12.19,0.55,0.73
??????????,020120,2022.12.16,0.47,0.39
??????????,020120,2022.12.15,0.6,0.75
??????????,020120,2022.12.14,0.19,0.22
??????????,020120,2022.12.13,0.32,0.13
??????????,020120,2022.12.12,0.42,0.64
??????????,020120,2022.12.09,1.0,1.0
??????????,020120,2022.12.08,0.05,0.06
??????????,020120,2022.12.07,0.1,0.16
??????????,020120,2022.12.06,0.05,0.05
??????????,020120,2022.12.05,0.11,0.08
??????????,020120,2022.12.02,0.43,0.62
??????????,020120,2022.12.01,0.47,0.47
??????????,020120,2022.11.30,0.12,0.09
??????????,020120,2022.11.29,0.17,0.17
??????????,020120,2022.11.28,0.24,0.31
??????????,020120,2022.11.25,0.14,0.22
??????????,020120,2022.11.24,0.37,0.43
??????????,020120,2022.11.23,0.37,0.32
