companyName,companyCode,upjongNumber
키다리스튜디오,020120,300
플레이위드,023770,263
드래곤플라이,030350,263
스카이문스테크놀로지,033790,263
NAVER,035420,300
카카오,035720,300
엔씨소프트,036570,263
네오위즈홀딩스,042420,263
한빛소프트,047080,263
액토즈소프트,052790,263
코원플레이,056000,263
티사이언티픽,057680,300
엠게임,058630,263
룽투코리아,060240,263
컴투스홀딩스,063080,263
조이시티,067000,263
아프리카TV,067160,300
웹젠,069080,263
컴투스,078340,263
THE E&M,089230,300
네오위즈,095660,263
위메이드맥스,101730,263
위메이드,112040,263
위메이드플레이,123420,263
더블유게임즈,192080,263
데브시스터즈,194480,263
미투온,201490,263
티쓰리,204610,263
액션스퀘어,205500,263
미스터블루,207760,263
썸에이지,208640,263
FSN,214270,300
넵튠,217270,263
넥슨게임즈,225570,263
줌인터넷,239340,300
넷마블,251270,263
크래프톤,259960,263
펄어비스,263750,263
자이언트스텝,289220,300
카카오게임즈,293490,263
베스파,299910,263
플리토,300080,300
캐리소프트,317530,300
밸로프,331520,263
모비릭스,348030,263
핑거스토리,417180,300
미투젠,950190,263
