companyName,companyCode,operatingProfitsFourYearsAgo,operatingProfitsThreeYearsAgo,operatingProfitsTwoYearsAgo,operatingProfitsOneYearsAgo
캐리소프트,317530,-17.0,-24.0,-23.0,0
자이언트스텝,289220,0,0,0,0
아프리카TV,067160,372.0,504.0,888.0,836.0
핑거스토리,417180,0,0,0,0
키다리스튜디오,020120,7.0,46.0,69.0,108.0
NAVER,035420,11550.0,12153.0,13255.0,13142.0
카카오,035720,2068.0,4559.0,5949.0,5858.0
THE E&M,089230,79.0,45.0,35.0,0
티사이언티픽,057680,20.0,7.0,10.0,0
FSN,214270,77.0,43.0,102.0,0
줌인터넷,239340,9.0,14.0,67.0,0
플리토,300080,-57.0,-34.0,-61.0,0
