companyName,companyCode,salesFourYearsAgo,salesThreeYearsAgo,salesTwoYearsAgo,salesOneYearsAgo
미스터블루,207760,639.0,807.0,615.0,0
넵튠,217270,180.0,196.0,203.0,0
티쓰리,204610,436.0,594.0,687.0,712.0
한빛소프트,047080,438.0,572.0,641.0,0
카카오게임즈,293490,3910.0,4955.0,10125.0,11792.0
웹젠,069080,1761.0,2941.0,2848.0,2544.0
엔씨소프트,036570,17012.0,24162.0,23088.0,25812.0
크래프톤,259960,10875.0,16704.0,18863.0,18441.0
펄어비스,263750,5359.0,4888.0,4038.0,3788.0
밸로프,331520,142.0,180.0,196.0,0
넷마블,251270,21787.0,24848.0,25069.0,26786.0
플레이위드,023770,560.0,430.0,133.0,0
미투젠,950190,969.0,1130.0,944.0,0
네오위즈,095660,2545.0,2896.0,2612.0,2953.0
미투온,201490,1191.0,1307.0,1097.0,0
스카이문스테크놀로지,033790,57.0,251.0,113.0,0
베스파,299910,1006.0,683.0,454.0,0
코원플레이,056000,198.0,175.0,68.0,0
엠게임,058630,376.0,424.0,557.0,0
컴투스,078340,4693.0,5090.0,5587.0,7177.0
썸에이지,208640,36.0,70.0,362.0,0
모비릭스,348030,403.0,437.0,567.0,0
룽투코리아,060240,301.0,521.0,368.0,0
액션스퀘어,205500,58.0,58.0,56.0,0
액토즈소프트,052790,627.0,475.0,583.0,0
넥슨게임즈,225570,285.0,814.0,631.0,0
더블유게임즈,192080,5138.0,6582.0,6241.0,6229.0
드래곤플라이,030350,61.0,38.0,63.0,0
컴투스홀딩스,063080,1199.0,1338.0,1416.0,1178.0
조이시티,067000,1031.0,1654.0,2013.0,1666.0
위메이드,112040,1136.0,1267.0,3350.0,4809.0
위메이드맥스,101730,305.0,379.0,355.0,0
위메이드플레이,123420,844.0,1062.0,1057.0,0
네오위즈홀딩스,042420,2539.0,2892.0,2693.0,0
데브시스터즈,194480,376.0,705.0,3693.0,2177.0
