companyName,companyCode,minPosts,maxPosts,minVolume,maxVolume
키다리스튜디오,020120,3.0,139.0,267769.0,10478469.0
플레이위드,023770,1.0,76.0,14322.0,2923396.0
드래곤플라이,030350,1.0,156.0,293859.0,32469798.0
스카이문스테크놀로지,033790,1.0,4.0,0.0,0.0
NAVER,035420,42.0,134.0,475600.0,1212987.0
카카오,035720,45.0,230.0,1376217.0,3194397.0
엔씨소프트,036570,16.0,96.0,40471.0,218522.0
네오위즈홀딩스,042420,1.0,41.0,17498.0,1580663.0
한빛소프트,047080,1.0,49.0,28161.0,1912899.0
액토즈소프트,052790,1.0,46.0,7182.0,4160111.0
코원플레이,056000,1.0,7.0,0.0,0.0
티사이언티픽,057680,1.0,89.0,64930.0,15061605.0
엠게임,058630,1.0,150.0,89811.0,10647613.0
룽투코리아,060240,1.0,192.0,221831.0,10211942.0
컴투스홀딩스,063080,2.0,84.0,21840.0,383918.0
조이시티,067000,1.0,223.0,81077.0,26706925.0
아프리카TV,067160,6.0,91.0,75144.0,422313.0
웹젠,069080,1.0,125.0,15198.0,2642814.0
컴투스,078340,14.0,118.0,63369.0,251710.0
THE E&M,089230,1.0,19.0,115124.0,11555647.0
네오위즈,095660,3.0,109.0,83579.0,1309547.0
위메이드맥스,101730,2.0,383.0,198572.0,6102523.0
위메이드,112040,53.0,237.0,425467.0,1354214.0
위메이드플레이,123420,1.0,184.0,29256.0,2516031.0
더블유게임즈,192080,1.0,83.0,17561.0,409383.0
데브시스터즈,194480,40.0,115.0,74930.0,340483.0
미투온,201490,2.0,38.0,68629.0,1760469.0
티쓰리,204610,11.0,209.0,1331015.0,38308773.0
액션스퀘어,205500,1.0,54.0,18615.0,1137199.0
미스터블루,207760,18.0,382.0,3807788.0,77438119.0
썸에이지,208640,1.0,72.0,188066.0,8055809.0
FSN,214270,2.0,431.0,128101.0,33060494.0
넵튠,217270,2.0,45.0,10751.0,892645.0
넥슨게임즈,225570,28.0,202.0,213425.0,5577153.0
줌인터넷,239340,20.0,356.0,1018273.0,31921825.0
넷마블,251270,15.0,177.0,176533.0,940006.0
크래프톤,259960,88.0,163.0,85169.0,300702.0
펄어비스,263750,21.0,137.0,175373.0,1111988.0
자이언트스텝,289220,2.0,144.0,66250.0,2414783.0
카카오게임즈,293490,19.0,201.0,307660.0,2235623.0
베스파,299910,1.0,22.0,0.0,0.0
플리토,300080,1.0,91.0,2280.0,2240668.0
캐리소프트,317530,4.0,163.0,93096.0,9611302.0
밸로프,331520,12.0,266.0,1884065.0,72242705.0
모비릭스,348030,1.0,104.0,12672.0,2165676.0
핑거스토리,417180,48.0,315.0,1722312.0,16345481.0
미투젠,950190,1.0,123.0,8593.0,3296798.0
