companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
동양,001520,0.74,0.44
한일시멘트,300720,0.78,0.49
티웨이홀딩스,004870,0.0,0.78
벽산,007210,0.64,0.29
삼화페인트,000390,0.65,0.48
한일현대시멘트,006390,0.5,0.5
LX하우시스,108670,0.67,0.46
동양파일,228340,0.52,0.45
노루홀딩스,000320,0.63,0.47
KCC글라스,344820,0.63,0.47
유진기업,023410,0.42,0.43
강남제비스코,000860,0.65,0.35
노루페인트,090350,0.62,0.47
다스코,058730,0.66,0.3
고려시멘트,198440,0.62,0.0
동양2우B,001527,0.74,0.44
홈센타홀딩스,060560,0.59,0.54
이건산업,008250,0.55,0.45
중앙디앤엠,051980,0.72,0.46
부산산업,011390,0.46,0.45
성신양회우,004985,0.65,0.47
노루홀딩스우,000325,0.63,0.47
KCC,002380,1.0,0.5
이건홀딩스,039020,0.51,0.44
SG,255220,0.22,0.43
유니온,000910,0.53,0.45
노루페인트우,090355,0.62,0.47
한솔홈데코,025750,0.59,0.34
제이엠멀티,254160,0.63,0.47
보광산업,225530,0.76,0.48
아세아시멘트,183190,0.57,0.46
조광페인트,004910,0.62,1.0
성신양회,004980,0.65,0.47
삼표시멘트,038500,0.68,0.47
라이온켐텍,171120,0.48,0.48
LX하우시스우,108675,0.67,0.46
한일홀딩스,003300,0.56,0.51
삼일씨엔에스,004440,0.58,0.41
모헨즈,006920,0.46,0.45
에스와이,109610,0.45,0.49
서산,079650,0.4,0.5
동양우,001525,0.74,0.44
일신석재,007110,0.51,0.46
동화기업,025900,0.78,0.47
쌍용C&E,003410,0.7,0.46
