이노메트리,302430,0.51,0.6
와이엠텍,273640,0.45,0.74
성문전자,014910,0.31,0.61
삼성SDI,006400,0.4,0.65
신화콘텍,187270,0.29,0.57
에스씨디,042110,0.33,0.65
에스피지,058610,0.34,0.64
디에이테크놀로지,196490,0.0,0.0
삼영전자,005680,0.32,0.65
에이에프더블류,312610,0.05,0.6
삼화콘덴서,001820,0.29,0.63
성호전자,043260,0.32,0.57
엘앤에프,066970,1.0,0.97
엠플러스,259630,0.29,0.63
원익피앤이,217820,0.3,0.64
삼성SDI우,006405,0.4,0.65
동양이엔피,079960,0.27,0.64
MIT,038340,0.11,0.68
크로바하이텍,043590,0.15,0.62
명성티엔에스,257370,0.08,0.17
더블유씨피,393890,0.29,0.63
신흥에스이씨,243840,0.29,0.63
SK아이이테크놀로지,361610,0.44,0.62
두산퓨얼셀1우,33626K,0.39,0.62
나인테크,267320,0.24,0.62
뉴인텍,012340,0.32,0.67
성문전자우,014915,0.31,0.61
삼화전기,009470,0.3,0.63
피에스텍,002230,0.31,0.61
KH 필룩스,033180,0.24,0.6
이지트로닉스,377330,0.29,0.63
원준,382840,0.29,0.63
에이치와이티씨,148930,0.29,0.63
씨아이에스,222080,0.29,0.63
새빗켐,107600,0.48,0.66
두산퓨얼셀2우B,33626L,0.39,0.62
에코프로비엠,247540,0.81,0.67
천보,278280,0.45,0.64
아비코전자,036010,0.34,0.64
지아이텍,382480,0.29,0.63
피엔티,137400,0.35,1.0
엔켐,348370,0.66,0.58
파워넷,037030,0.35,0.64
대보마그네틱,290670,0.69,0.59
비츠로셀,082920,0.28,0.63
에스퓨얼셀,288620,0.36,0.64
두산퓨얼셀,336260,0.39,0.62
LG에너지솔루션,373220,0.29,0.63
성일하이텍,365340,0.61,0.61
