companyName,companyCode,companyDate,postsPerDay,volumePerDay
더블유게임즈,192080,2023.01.30,0.09,0.01
더블유게임즈,192080,2023.01.27,0.15,0.03
더블유게임즈,192080,2023.01.26,0.24,0.06
더블유게임즈,192080,2023.01.25,0.05,0.05
더블유게임즈,192080,2023.01.20,0.09,0.04
더블유게임즈,192080,2023.01.18,0.05,0.04
더블유게임즈,192080,2023.01.17,0.04,0.02
더블유게임즈,192080,2023.01.16,0.1,0.03
더블유게임즈,192080,2023.01.13,0.07,0.09
더블유게임즈,192080,2023.01.12,0.29,0.23
더블유게임즈,192080,2023.01.11,0.06,0.0
더블유게임즈,192080,2023.01.10,0.04,0.04
더블유게임즈,192080,2023.01.09,0.0,0.04
더블유게임즈,192080,2023.01.06,0.24,0.06
더블유게임즈,192080,2023.01.05,0.13,0.04
더블유게임즈,192080,2023.01.04,0.05,0.03
더블유게임즈,192080,2023.01.03,0.15,0.07
더블유게임즈,192080,2023.01.02,0.1,0.03
더블유게임즈,192080,2022.12.29,0.26,0.07
더블유게임즈,192080,2022.12.28,0.1,0.07
더블유게임즈,192080,2022.12.27,0.05,0.1
더블유게임즈,192080,2022.12.26,0.12,0.05
더블유게임즈,192080,2022.12.23,0.05,0.07
더블유게임즈,192080,2022.12.22,0.12,0.03
더블유게임즈,192080,2022.12.21,0.04,0.0
더블유게임즈,192080,2022.12.20,0.1,0.0
더블유게임즈,192080,2022.12.19,0.17,0.0
더블유게임즈,192080,2022.12.16,0.11,0.03
더블유게임즈,192080,2022.12.15,0.07,0.04
더블유게임즈,192080,2022.12.14,0.13,0.05
더블유게임즈,192080,2022.12.13,0.05,0.05
더블유게임즈,192080,2022.12.12,0.09,0.03
더블유게임즈,192080,2022.12.09,0.09,0.05
더블유게임즈,192080,2022.12.08,0.06,0.08
더블유게임즈,192080,2022.12.07,0.04,0.15
더블유게임즈,192080,2022.12.06,0.04,0.02
더블유게임즈,192080,2022.12.05,0.06,0.04
더블유게임즈,192080,2022.12.02,0.11,0.07
더블유게임즈,192080,2022.12.01,0.11,0.05
더블유게임즈,192080,2022.11.30,0.04,0.07
더블유게임즈,192080,2022.11.29,0.02,0.02
더블유게임즈,192080,2022.11.28,0.01,0.05
더블유게임즈,192080,2022.11.25,0.04,0.06
더블유게임즈,192080,2022.11.24,0.02,0.09
더블유게임즈,192080,2022.11.23,0.07,0.02
더블유게임즈,192080,2022.11.22,0.13,0.1
더블유게임즈,192080,2022.11.21,0.05,0.08
더블유게임즈,192080,2022.11.18,0.02,0.12
더블유게임즈,192080,2022.11.17,0.06,0.08
더블유게임즈,192080,2022.11.16,0.04,0.09
더블유게임즈,192080,2022.11.15,0.04,0.09
더블유게임즈,192080,2022.11.14,0.54,0.21
더블유게임즈,192080,2022.11.11,0.34,0.18
더블유게임즈,192080,2022.11.10,0.28,0.15
더블유게임즈,192080,2022.11.09,1.0,0.48
더블유게임즈,192080,2022.11.08,0.22,0.1
더블유게임즈,192080,2022.11.07,0.12,0.08
더블유게임즈,192080,2022.11.04,0.28,0.1
더블유게임즈,192080,2022.11.03,0.09,0.06
더블유게임즈,192080,2022.11.02,0.13,0.07
더블유게임즈,192080,2022.11.01,0.15,0.04
더블유게임즈,192080,2022.10.31,0.09,0.03
더블유게임즈,192080,2022.10.28,0.13,0.05
더블유게임즈,192080,2022.10.27,0.21,0.11
더블유게임즈,192080,2022.10.26,0.05,0.09
더블유게임즈,192080,2022.10.25,0.05,0.06
더블유게임즈,192080,2022.10.24,0.1,0.06
더블유게임즈,192080,2022.10.21,0.06,0.1
더블유게임즈,192080,2022.10.20,0.05,0.11
더블유게임즈,192080,2022.10.19,0.09,0.26
더블유게임즈,192080,2022.10.18,0.15,0.24
더블유게임즈,192080,2022.10.17,0.1,0.1
더블유게임즈,192080,2022.10.14,0.11,0.09
더블유게임즈,192080,2022.10.13,0.1,0.18
더블유게임즈,192080,2022.10.12,0.06,0.09
더블유게임즈,192080,2022.10.11,0.13,0.2
더블유게임즈,192080,2022.10.07,0.09,0.16
더블유게임즈,192080,2022.10.06,0.16,0.31
더블유게임즈,192080,2022.10.05,0.26,0.3
더블유게임즈,192080,2022.10.04,0.16,0.17
더블유게임즈,192080,2022.09.30,0.09,0.22
더블유게임즈,192080,2022.09.29,0.06,0.18
더블유게임즈,192080,2022.09.28,0.34,0.3
더블유게임즈,192080,2022.09.27,0.09,0.19
더블유게임즈,192080,2022.09.26,0.13,0.24
더블유게임즈,192080,2022.09.23,0.17,0.11
더블유게임즈,192080,2022.09.22,0.27,0.09
더블유게임즈,192080,2022.09.21,0.26,0.07
더블유게임즈,192080,2022.09.20,0.22,0.12
더블유게임즈,192080,2022.09.19,0.17,0.14
더블유게임즈,192080,2022.09.16,0.17,0.05
더블유게임즈,192080,2022.09.15,0.21,0.06
더블유게임즈,192080,2022.09.14,0.18,0.1
더블유게임즈,192080,2022.09.13,0.18,0.27
더블유게임즈,192080,2022.09.08,0.18,0.13
더블유게임즈,192080,2022.09.07,0.17,0.09
더블유게임즈,192080,2022.09.06,0.12,0.06
더블유게임즈,192080,2022.09.05,0.11,0.16
더블유게임즈,192080,2022.09.02,0.18,0.1
더블유게임즈,192080,2022.09.01,0.17,0.24
더블유게임즈,192080,2022.08.31,0.27,0.16
더블유게임즈,192080,2022.08.30,0.1,1.0
